Neighborhood,Zip Code
Downtown,
Cathedral District,60611
Central Station,60605
Dearborn Park,60605
Gold Coast,"60610, 60611"
Loop,"60601, 60602, 60603, 60604, 60605, 60606, 60607, 60616"
Magnificent Mile,60611
Museum Campus,60605
Near North Side,"60610, 60611, 60642, 60654"
Near West Side,"60606, 60607, 60608, 60610, 60612, 60661"
New East Side,60601
Noble Square,60622
Old Town,60610
Printers Row,60605
Randolph Market,"60607, 60661"
River East,60611
River North,"60611, 60654"
River West,"60622, 60610"
South Loop,"60605, 60607, 60608, 60616"
Streeterville,60611
Tri-Taylor,60612
Ukrainian Village,"60612, 60622"
West Loop,60607
West Town,"60612, 60622, 60642, 60647"
Wicker Park,60622
,
North Side,Zip Code
Alta Vista Terrace,60613
Belmont Harbor,60657
Boys Town,"60613, 60657"
Bucktown,"60614, 60622, 60647"
DePaul,60614
Lakeview,"60613, 60657"
Lakeview Central,60657
Lakeview East,"60613, 60657"
Lincoln Park,"60610, 60614"
Lincoln Square,60625
North Center,"60613, 60618"
North Halsted,"60613, 60657"
Old Town Triangle,60614
Park West,60614
Ranch Triangle,60614
Roscoe Village,"60618, 60657"
Sheffield,60614
Uptown,60640
West DePaul,60614
Wrightwood Neighbors,60614
Wrigleyville,60613
,
Far North Side, Zip Code
Andersonville,60640
Budlong Woods,60625
Buena Park,"60613, 60640"
East Ravenswood,"60613, 60640"
Edgewater,"60640, 60660"
Edgewater Glen,"60640, 60660"
Edison Park,60631
Middle Edgebrook,"60630, 60646"
North Edgebrook,"60630, 60646"
Old Irving Park,60641
Peterson Park,60659
Ravenswood,"60613, 60625, 60640"
West Ridge,"60645, 60659"
West Rogers Park,"60645, 60659, 60660"
,
Northwest Side, Zip Code
Albany Park,60625
Avondale ,60618
Belmont Gardens,"60639, 60641"
Forest Glen,60630
Irving Park,60618
Jefferson Park,60630
Mayfair,60630
North Park,60625
Norwood Park,60631
Old Edgebrook,60646
Old Norwood Park,60631
Portage Park,"60634, 60641"
Ravenswood Manor,60625
Sauganash,"60630, 60646"
Sauganash Woods,60630
Schorsch Forest View,60656
South Edgebrook,60646
Union Ridge,60656
,
North Shore, Zip Code
Bannockburn,60015
Deerfield,60015
Evanston,"60201, 60202, 60203, 60204, 60208, 60209"
Glencoe,"60022, 60093"
Glenview,"60016, 60025, 60026, 60029, 60062, 60082"
Golf,60029
Highland Park,"60035, 60040"
Highwood,60040
Kenilworth,60043
Lake Bluff,60044
Lake Forest,"60035, 60045"
Northbrook,"60026, 60062, 60065"
Northfield,60093
Skokie,"60076, 60077, 60203"
Wilmette,60091
Winnetka,"60043, 60093"
,
Northwest Side, Zip Code
Algonquin,60102
Arlington Heights,60004
Barrington,60010
Barrington Hills,60010
Bartlett,60103
Bloomingdale,60108
Buffalo Grove,60089
Burlington,60109
Crystal Lake,"60012, 60014, 60039"
Deer Park,60010
Des Plaines,"60016, 60017, 60018, 60019"
East Dundee,60118
Elgin,"60120, 60121, 60122, 60123, 60124, 60140, 60170, 60175, 60177"
Elk Grove Village,"60007, 60009, 60143"
Grayslake,60030
Hampshire,60140
Hoffman Estates,"60010, 60067, 60107, 60120, 60169, 60179, 60192, 60194, 60195"
Huntley,60142
Iverness,"60010, 60067"
Itasca,60143
Lake in the Hills,60156
Lake Zurich,60047
Long Grove,"60047, 60049, 60060"
Morton Grove,60053
Mount Prospect,"60005, 60056, 60058"
Niles,"60646, 60714"
Northbrook,"60062, 60065"
Park Ridge,"60016, 60068"
Prospect Heights,"60004, 60062, 60070, 60090"
Roselle,60172
Rosemont,60018
Schaumburg,"60007, 60159, 60168, 60169, 60172, 60173, 60193, 60194, 60195, 60196"
Sleepy Hollow,60118
South Barrington,60010
Streamwood,"60103, 60107"
West Dundee,60118
,
Western Suburbs, Zip Code
Addison,60126
Aurora,"60502, 60503, 60504, 60505, 60506, 60507, 60568, 60569, 60572, 60598"
Berwyn,60402
Bolingbrook,"60439, 60440, 60490"
Brookfield,60513
Burr Ridge,60527
Darien,60561
Downers Grove,"60515, 60516, 60517"
Elmhurst,60126
Frankfort,60423
Glen Ellyn,"60137, 60138"
Glendale Heights,"60137, 60139"
Hinsdale,"60521, 60522, 60523"
La Grange,"60525, 60526"
La Grange Park,60526
Lisle,60532
Lombard,60148
Naperville,"60540, 60563, 60564, 60565, 60566, 60567"
Oak Brook,"60521, 60522, 60523"
Oak Park,"60301, 60302, 60303, 60304"
Oakbrook Terrace,"60521, 60522, 60523"
Oswego,60543
Plainfield,"60544, 60585, 60586"
River Forest,"60153, 60160, 60305"
Riverside,60546
The Lakelands in Plainfield,60585
Western Springs,60558
Westmont,60559
Wheaton,"60187, 60189"
Willowbrook,60527
Woodridge,60517
Yorkville,60560
,
South Side, Zip Code
Back of the Yards,60609
Beverly,"60620, 60643, 60655"
Bridgeport,"60608, 60609, 60616"
Bronzeville,"60616, 60653"
Canaryville,60609
Chinatown,"60608, 60616"
Douglas Park,60623
Englewood,"60621, 60636"
Evergreen Park,60805
Hyde Park,"60615, 60637"
Jackson Park,60637
Kenwood,"60615, 60653"
Lawndale,"60608, 60623, 60624"
Little Village,"60608, 60623"
McKinley Park,"60608, 60609"
Morgan Park,"60643, 60655"
Mount Greenwood,60655
Oakland,60653
Pilsen,"60608, 60616"
South Loop,"60605, 60607, 60608, 60616"
South Shore,"60619, 60637, 60649"
Washington Park,"60609, 60615, 60621, 60637"
Woodlawn,60637
