,community_area,fbi_code,date,description,latitude,longitude,primary_type,year
0,46,11,2018-12-29T00:00:00.000,ILLEGAL USE CASH CARD,,,DECEPTIVE PRACTICE,2018
1,61,15,2018-07-27T19:44:31.000,UNLAWFUL POSS OF HANDGUN,,,WEAPONS VIOLATION,2018
2,23,06,2018-12-31T21:00:00.000,FROM BUILDING,,,THEFT,2018
3,67,06,2018-06-01T13:42:00.000,$500 AND UNDER,,,THEFT,2018
4,21,11,2018-09-24T00:01:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2018
5,33,22,2018-11-09T21:40:00.000,LIQUOR LICENSE VIOLATION,,,LIQUOR LAW VIOLATION,2018
6,61,06,2018-03-01T14:30:00.000,RETAIL THEFT,,,THEFT,2018
7,18,02,2018-06-01T00:00:00.000,AGG SEX ASSLT OF CHILD FAM MBR,,,OFFENSE INVOLVING CHILDREN,2018
8,67,08B,2018-12-22T04:00:00.000,CHILD ABUSE,,,OFFENSE INVOLVING CHILDREN,2018
9,61,07,2018-12-08T00:00:00.000,AUTOMOBILE,41.80985297,-87.641486912,MOTOR VEHICLE THEFT,2018
10,30,02,2018-10-30T16:30:00.000,AGGRAVATED: OTHER,41.848975326,-87.71614173,CRIM SEXUAL ASSAULT,2018
11,59,08B,2018-10-12T20:00:00.000,DOMESTIC BATTERY SIMPLE,41.82603409,-87.669065027,BATTERY,2018
12,24,05,2018-06-05T18:30:00.000,FORCIBLE ENTRY,41.910941796,-87.700258214,BURGLARY,2018
13,3,04B,2018-05-10T19:35:00.000,AGGRAVATED: HANDGUN,41.964784312,-87.654782085,BATTERY,2018
14,21,17,2018-01-04T18:00:00.000,AGG CRIM SEX ABUSE FAM MEMBER,41.933674356,-87.722433593,OFFENSE INVOLVING CHILDREN,2018
15,10,11,2018-06-01T00:01:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
16,52,06,2018-12-03T17:57:00.000,$500 AND UNDER,,,THEFT,2018
17,32,26,2018-09-01T00:01:00.000,HARASSMENT BY TELEPHONE,,,OTHER OFFENSE,2018
18,31,11,2018-11-15T00:01:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
19,15,08B,2018-12-22T19:45:00.000,DOMESTIC BATTERY SIMPLE,41.942340939,-87.75754537,BATTERY,2018
20,15,07,2018-09-27T18:00:00.000,AUTOMOBILE,41.951320693,-87.744689828,MOTOR VEHICLE THEFT,2018
21,21,09,2018-09-11T22:05:00.000,BY FIRE,41.933085869,-87.693982664,ARSON,2018
22,43,04B,2018-08-30T19:00:00.000,AGGRAVATED: HANDGUN,41.753584089,-87.563410557,BATTERY,2018
23,28,09,2018-08-16T00:01:00.000,BY FIRE,41.866129145,-87.657544481,ARSON,2018
24,25,09,2018-08-12T01:20:00.000,BY FIRE,41.870862882,-87.749070785,ARSON,2018
25,46,04B,2018-05-15T19:49:00.000,AGG PRO.EMP: OTHER DANG WEAPON,41.736922044,-87.551419766,BATTERY,2018
26,7,06,2018-03-27T06:33:00.000,RETAIL THEFT,41.910857665,-87.651995629,THEFT,2018
27,32,08B,2018-03-26T09:20:00.000,AGG: HANDS/FIST/FEET NO/MINOR INJURY,41.871361856,-87.629577951,BATTERY,2018
28,25,02,2018-03-10T05:00:00.000,NON-AGGRAVATED,41.882297385,-87.760901352,CRIM SEXUAL ASSAULT,2018
29,28,11,2018-03-20T09:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
30,66,26,2018-10-01T12:00:00.000,HARASSMENT BY TELEPHONE,,,OTHER OFFENSE,2018
31,25,06,2018-05-05T08:00:00.000,$500 AND UNDER,,,THEFT,2018
32,21,11,2018-09-28T09:00:00.000,AGGRAVATED FINANCIAL IDENTITY THEFT,,,DECEPTIVE PRACTICE,2018
33,27,17,2018-11-10T10:00:00.000,CRIM SEX ABUSE BY FAM MEMBER,41.885386072,-87.707014386,OFFENSE INVOLVING CHILDREN,2018
34,27,15,2018-12-03T18:31:00.000,UNLAWFUL POSS OF HANDGUN,41.871059334,-87.696712303,WEAPONS VIOLATION,2018
35,23,04A,2018-11-04T00:30:00.000,AGGRAVATED: HANDGUN,41.897674286,-87.727379215,ASSAULT,2018
36,28,03,2018-10-19T19:10:00.000,ARMED: HANDGUN,41.880002373,-87.641134667,ROBBERY,2018
37,28,26,2018-07-27T03:28:00.000,HARASSMENT BY TELEPHONE,41.872332627,-87.679608149,OTHER OFFENSE,2018
38,25,17,2018-06-16T03:00:00.000,AGG CRIMINAL SEXUAL ABUSE,41.885589421,-87.774052255,SEX OFFENSE,2018
39,43,02,2018-04-20T07:15:00.000,ATTEMPT NON-AGGRAVATED,41.7671089,-87.575103515,CRIM SEXUAL ASSAULT,2018
40,14,03,2018-04-19T22:35:00.000,STRONGARM - NO WEAPON,41.965860757,-87.701053221,ROBBERY,2018
41,42,06,2018-01-28T02:15:00.000,OVER $500,41.775834643,-87.615515144,THEFT,2018
42,29,18,2018-08-22T09:30:00.000,FORFEIT PROPERTY,,,NARCOTICS,2018
43,77,07,2018-07-09T12:00:00.000,"CYCLE, SCOOTER, BIKE W-VIN",,,MOTOR VEHICLE THEFT,2018
44,51,14,2018-11-09T06:30:00.000,TO VEHICLE,,,CRIMINAL DAMAGE,2018
45,23,18,2018-08-27T11:25:00.000,POSS: HEROIN(WHITE),,,NARCOTICS,2018
46,30,11,2018-07-01T08:00:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2018
47,29,18,2018-09-04T14:30:00.000,MANU/DELIVER:CRACK,,,NARCOTICS,2018
48,29,18,2018-09-04T11:20:00.000,FOUND SUSPECT NARCOTICS,,,NARCOTICS,2018
49,26,18,2018-08-26T09:55:00.000,MANU/DELIVER: HEROIN (WHITE),,,NARCOTICS,2018
50,11,02,2018-04-22T00:01:00.000,PREDATORY,,,CRIM SEXUAL ASSAULT,2018
51,29,18,2018-09-04T11:50:00.000,FOUND SUSPECT NARCOTICS,,,NARCOTICS,2018
52,29,18,2018-08-28T19:06:00.000,POSS: HEROIN(WHITE),,,NARCOTICS,2018
53,42,02,2018-09-06T00:00:00.000,NON-AGGRAVATED,,,CRIM SEXUAL ASSAULT,2018
54,28,18,2018-07-30T13:05:00.000,FORFEIT PROPERTY,,,NARCOTICS,2018
55,29,18,2018-09-04T10:30:00.000,POSS: CANNABIS MORE THAN 30GMS,,,NARCOTICS,2018
56,71,26,2018-09-15T07:00:00.000,HARASSMENT BY TELEPHONE,,,OTHER OFFENSE,2018
57,28,18,2018-09-04T20:40:00.000,MANU/DELIVER: HEROIN (WHITE),,,NARCOTICS,2018
58,26,18,2018-08-31T11:03:00.000,MANU/DELIVER: HEROIN (WHITE),,,NARCOTICS,2018
59,26,18,2018-08-21T07:30:00.000,MANU/DELIVER: HEROIN (WHITE),,,NARCOTICS,2018
60,49,01A,2018-07-08T08:04:00.000,FIRST DEGREE MURDER,41.693176605,-87.6231207,HOMICIDE,2018
61,22,11,2018-06-01T08:00:00.000,FINANCIAL IDENTITY THEFT $300 AND UNDER,,,DECEPTIVE PRACTICE,2018
62,23,06,2018-12-28T00:01:00.000,$500 AND UNDER,,,THEFT,2018
63,69,18,2018-08-15T10:28:00.000,MANU/DELIVER: HEROIN (WHITE),,,NARCOTICS,2018
64,53,18,2018-08-19T09:57:00.000,MANU/DELIVER:CRACK,,,NARCOTICS,2018
65,71,18,2018-08-19T12:24:00.000,MANU/DEL:CANNABIS 10GM OR LESS,,,NARCOTICS,2018
66,71,18,2018-08-19T08:18:00.000,MANU/DELIVER:CRACK,,,NARCOTICS,2018
67,53,18,2018-08-19T09:15:00.000,MANU/DELIVER:CRACK,,,NARCOTICS,2018
68,25,18,2018-08-19T08:53:00.000,MANU/DELIVER: HEROIN (WHITE),,,NARCOTICS,2018
69,13,01B,2018-09-23T17:20:00.000,RECKLESS HOMICIDE,41.997341964,-87.712065116,HOMICIDE,2018
70,1,26,2018-03-18T01:30:00.000,HARASSMENT BY ELECTRONIC MEANS,42.016509885,-87.670328495,OTHER OFFENSE,2018
71,33,11,2018-01-23T17:09:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
72,25,12,2018-08-01T09:00:00.000,EMBEZZLEMENT,,,DECEPTIVE PRACTICE,2018
73,28,11,2018-03-30T08:45:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
74,48,11,2018-04-01T09:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
75,28,11,2018-11-21T09:00:00.000,ILLEGAL USE CASH CARD,,,DECEPTIVE PRACTICE,2018
76,43,05,2018-10-10T10:00:00.000,UNLAWFUL ENTRY,,,BURGLARY,2018
77,23,26,2018-04-12T09:44:00.000,HARASSMENT BY ELECTRONIC MEANS,,,OTHER OFFENSE,2018
78,25,11,2018-02-15T08:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2018
79,29,26,2018-12-20T00:01:00.000,HARASSMENT BY ELECTRONIC MEANS,,,OTHER OFFENSE,2018
80,72,11,2018-11-08T09:00:00.000,FINANCIAL IDENTITY THEFT $300 AND UNDER,,,DECEPTIVE PRACTICE,2018
81,41,06,2018-10-11T12:35:00.000,FROM BUILDING,,,THEFT,2018
82,1,06,2018-04-15T02:00:00.000,FROM BUILDING,,,THEFT,2018
83,63,17,2018-12-21T00:01:00.000,AGG CRIM SEX ABUSE FAM MEMBER,,,OFFENSE INVOLVING CHILDREN,2018
