,Gentrified_type,Neighborhood,Nonviolent_2002,Violent_2002,White_Collar_2002,Total_2002,Nonviolent_2010,Violent_2010,White_Collar_2010,Total_2010,Nonviolent_2018,Violent_2018,White_Collar_2018,Total_2018,GEOG,2000_POP,2002_POP_est,2010_POP,2018_POP,Nonviolent_2002_est_rate,Violent_2002_est_rate,White_Collar_2002_est_rate,Total_2002_est_rate,Nonviolent_2010_rate,Violent_2010_rate,White_Collar_2010_rate,Total_2010_rate,Nonviolent_2018_rate,Violent_2018_rate,White_Collar_2018_rate,Total_2018_rate
0,Gentrified,Lake View,1382,657,263,2302,1744,954,529,3227,1055,929,693,2677,Lake View,94817,94727.0,94368,99876,14.589293443263273,6.935720544300992,2.7763995481752826,24.30141353573955,18.480840963038318,10.10935910478128,5.605713801288572,34.195913869108175,10.563098241819857,9.301533902038528,6.938603868797309,26.803236012655695
1,Gentrified,Lincoln Park,1162,504,209,1875,1292,551,294,2137,863,475,439,1777,Lincoln Park,64320,64279.0,64116,67260,18.07744364411394,7.840818929977131,3.25145070707385,29.16971328116492,20.150976355355915,8.593798739784141,4.585438892008235,33.33021398714829,12.830805828129645,7.062146892655367,6.5269104965804345,26.419863217365446
2,Gentrified,Loop,1214,587,450,2251,1612,831,698,3141,1409,1318,1557,4284,Loop,16388,18967.0,29283,35010,64.00590499288238,30.94848948173143,23.72541783096958,118.67981230558338,55.04900454188437,28.378239934432948,23.836355564662092,107.2636000409794,40.24564410168524,37.64638674664381,44.473007712082264,122.3650385604113
3,Gentrified,Near North Side,2824,1552,567,4943,2800,1648,866,5314,1784,1849,1929,5562,Near North Side,72811,74346.0,80484,86343,37.984558685067114,20.875366529470313,7.626503107093859,66.4864283216313,34.78952338352965,20.476119477163163,10.759902589334526,66.02554545002734,20.66177918302584,21.414590644290794,22.341127827386124,64.41749765470276
4,Gentrified,Near South Side,694,456,55,1205,562,354,87,1003,432,362,237,1031,Near South Side,9509,11885.0,21390,23190,58.39293226756416,38.36769036600757,4.627681952040387,101.38830458561212,26.2739597942964,16.549789621318375,4.067321178120617,46.891070593735385,18.628719275549805,15.610176800344975,10.219922380336351,44.458818456231135
5,Gentrified,Near West Side,2840,1518,213,4571,2780,1639,322,4741,1940,1620,772,4332,Near West Side,46419,48111.0,54881,62560,59.03015942300098,31.55203591694207,4.427261956725073,95.00945729666813,50.65505366155865,29.86461616953044,5.8672400284251385,86.38690985951422,31.01023017902813,25.895140664961637,12.340153452685422,69.24552429667519
6,Gentrified,North Center,664,309,70,1043,594,233,96,923,292,165,127,584,North Center,31895,31889.0,31867,34942,20.822227100254004,9.689861707798928,2.195114302737621,32.70720311079055,18.639972385226095,7.311638999592055,3.0125207895314903,28.96413217434964,8.356705397515883,4.7221109266784955,3.6345944708373876,16.713410795031766
7,Gentrified,Uptown,1721,1017,242,2980,1769,1000,240,3009,834,858,354,2046,Uptown,63551,62113.0,56362,56296,27.70756524399079,16.373383993688922,3.8961248047912673,47.97707404247098,31.386395088889678,17.742450587275115,4.258188140946028,53.38703381711082,14.814551655535029,15.240869688787836,6.288190990478897,36.34361233480176
8,Gentrified,West Town,2986,1545,185,4716,3060,1733,367,5160,1466,1095,552,3113,West Town,87435,86395.0,82236,85307,34.562185311649976,17.882979339082123,2.1413276231263385,54.58649227385844,37.20998103020575,21.073495792596916,4.462765698720754,62.74624252152341,17.184990680717878,12.835992357016423,6.470746832030197,36.4917298697645
9,Not Gentrified,Armour Square,262,113,15,390,445,222,45,712,199,207,75,481,Armour Square,12032,12304.0,13391,13699,21.293888166449936,9.184005201560469,1.2191157347204162,31.69700910273082,33.231274736763496,16.578298857441563,3.3604659846165337,53.170039578821594,14.526607781589897,15.110592014015621,5.474852178991167,35.11205197459669
10,Not Gentrified,Beverly,311,160,46,517,400,182,93,675,285,147,93,525,Beverly,21992,21600.0,20034,20836,14.398148148148147,7.407407407407407,2.1296296296296298,23.935185185185183,19.966057701906756,9.084556254367575,4.642108415693322,33.692722371967655,13.678249184104434,7.055096947590709,4.463428681128816,25.19677481282396
11,Not Gentrified,Bridgeport,694,429,39,1162,890,447,57,1394,460,278,124,862,Bridgeport,33694,33351.0,31977,32789,20.808971245240024,12.863182513267969,1.169380228478906,34.841533986986896,27.83250461269037,13.978797260531007,1.7825311942959001,43.593833067517274,14.029095123364543,8.478453139772483,3.7817560767330507,26.28930433987008
12,Not Gentrified,Calumet Heights,481,269,27,777,632,369,66,1067,370,348,95,813,Calumet Heights,15974,15542.0,13812,13306,30.948397889589497,17.307939776090592,1.7372281559644833,49.99356582164457,45.7573124818998,26.715899218071243,4.7784535186794095,77.25166521865044,27.807004358935817,26.153614910566663,7.139636254321359,61.10025552382384
13,Not Gentrified,Clearing,442,216,45,703,552,300,34,886,297,196,92,585,Clearing,22331,22493.0,23139,25200,19.650557951362646,9.602987596141022,2.000622415862713,31.254167963366378,23.85582782315571,12.965123816932453,1.4693806992523446,38.29033233934051,11.785714285714286,7.777777777777778,3.650793650793651,23.214285714285715
14,Not Gentrified,Dunning,710,315,43,1068,868,421,101,1390,423,370,112,905,Dunning,42164,42118.0,41932,43444,16.857400636307517,7.47898760624911,1.0209411652974976,25.357329407854124,20.700181245826577,10.040064866927406,2.4086616426595437,33.14890775541353,9.736672497928367,8.516711168400699,2.578031488813185,20.831415155142253
15,Not Gentrified,Edgewater,977,568,105,1650,1133,726,162,2021,633,585,269,1487,Edgewater,62198,61063.0,56521,55430,15.999868987766733,9.301868561976974,1.7195355616330674,27.021273111376775,20.045646750765204,12.844783354859254,2.8661913271173547,35.75662143274181,11.419808767815264,10.553851704852967,4.852967707017861,26.82662817968609
16,Not Gentrified,Edison Park,110,51,4,165,116,74,17,207,70,72,26,168,Edison Park,11328,11300.0,11187,11008,9.734513274336283,4.513274336283185,0.35398230088495575,14.601769911504425,10.369178510771432,6.61482077411281,1.5196209886475374,18.50362027353178,6.359011627906977,6.540697674418605,2.3619186046511627,15.261627906976743
17,Not Gentrified,Forest Glen,208,65,14,287,242,84,34,360,118,59,57,234,Forest Glen,18165,18234.0,18508,18651,11.407261160469453,3.5647691126467036,0.767796424262367,15.739826697378525,13.07542684244651,4.53857791225416,1.837043440674303,19.451048195374973,6.3267385126802855,3.1633692563401428,3.056136400193019,12.546244169213447
18,Not Gentrified,Garfield Ridge,1035,474,151,1660,1058,439,137,1634,712,326,194,1232,Garfield Ridge,36101,35783.0,34513,35470,28.924349551462985,13.246513707626526,4.21988094905402,46.39074420814354,30.6551154637383,12.71984469620143,3.9695187320719727,47.3444788920117,20.073301381449113,9.19086552015788,5.469410769664505,34.7335776712715
19,Not Gentrified,Hyde Park,494,282,71,847,575,353,94,1022,492,264,176,932,Hyde Park,29920,29072.0,25681,26573,16.992294991744632,9.700055035773254,2.442212438084755,29.13456246560264,22.390093843697674,13.745570655348313,3.6602936022740544,39.79595810132004,18.515034057125654,9.934896323335716,6.623264215557144,35.07319459601852
20,Not Gentrified,Irving Park,1072,569,68,1709,1432,833,122,2387,702,575,173,1450,Irving Park,58643,57586.0,53359,55417,18.615635744799082,9.880873823498767,1.1808425659014343,29.677352134199285,26.83708465301074,15.611237092149402,2.286399670158736,44.73472141531887,12.66759297688435,10.375877438331198,3.1217857336196473,26.165256148835194
21,Not Gentrified,Jefferson Park,405,208,53,666,553,267,79,899,326,214,87,627,Jefferson Park,25859,25777.0,25448,26755,15.71168095589091,8.069208984753852,2.056096520153625,25.836986460798386,21.730587865451117,10.491983652939327,3.1043696950644453,35.32694121345489,12.184638385348533,7.998504952345355,3.251728648850682,23.43487198654457
22,Not Gentrified,Kenwood,447,417,36,900,759,532,55,1346,382,307,115,804,Kenwood,18363,18259.0,17841,17074,24.481077824634426,22.838052467276412,1.9716304288296183,49.29076072074046,42.54245838237767,29.818956336528224,3.08278683930273,75.44420155820862,22.373199016047792,17.980555230174534,6.735387138338995,47.08914138456132
23,Not Gentrified,Lincoln Square,671,419,69,1159,842,427,93,1362,469,391,192,1052,Lincoln Square,44574,43558.0,39493,41483,15.40474769273153,9.619358097249643,1.584094770191469,26.608200560172644,21.320233965512877,10.812042640467931,2.3548476945281442,34.48712430050895,11.30583612564183,9.425547814767496,4.628401995998361,25.359785936407686
