,community_area,fbi_code,date,description,latitude,longitude,primary_type,year
0,71,02,2010-01-01T00:01:00.000,PREDATORY,,,CRIM SEXUAL ASSAULT,2010
1,41,11,2010-01-01T12:00:00.000,FINANCIAL IDENTITY THEFT $300 AND UNDER,,,DECEPTIVE PRACTICE,2010
2,11,02,2010-01-01T00:00:00.000,SEX ASSLT OF CHILD BY FAM MBR,,,OFFENSE INVOLVING CHILDREN,2010
3,67,11,2010-01-11T18:20:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
4,66,02,2010-05-01T00:00:00.000,AGGRAVATED: OTHER,,,CRIM SEXUAL ASSAULT,2010
5,69,11,2010-01-01T00:01:00.000,FINANCIAL IDENTITY THEFT $300 AND UNDER,,,DECEPTIVE PRACTICE,2010
6,38,11,2010-07-01T08:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
7,77,02,2010-09-28T00:01:00.000,NON-AGGRAVATED,,,CRIM SEXUAL ASSAULT,2010
8,60,11,2010-01-26T09:00:00.000,FINAN EXPLOIT-ELDERLY/DISABLED,,,DECEPTIVE PRACTICE,2010
9,14,17,2010-09-18T12:00:00.000,AGG CRIMINAL SEXUAL ABUSE,,,SEX OFFENSE,2010
10,73,11,2010-01-02T20:10:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
11,30,02,2010-01-10T00:00:00.000,AGG SEX ASSLT OF CHILD FAM MBR,,,OFFENSE INVOLVING CHILDREN,2010
12,38,06,2010-10-07T14:00:00.000,OVER $500,,,THEFT,2010
13,75,11,2010-01-01T09:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
14,53,11,2010-08-20T12:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
15,50,02,2010-06-01T00:00:00.000,SEX ASSLT OF CHILD BY FAM MBR,,,OFFENSE INVOLVING CHILDREN,2010
16,21,11,2010-01-01T08:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
17,25,11,2010-02-01T00:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
18,41,11,2010-04-28T12:00:00.000,FINANCIAL IDENTITY THEFT $300 AND UNDER,,,DECEPTIVE PRACTICE,2010
19,77,11,2010-03-31T09:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
20,63,20,2010-01-01T08:00:00.000,AGG CRIM SEX ABUSE FAM MEMBER,,,OFFENSE INVOLVING CHILDREN,2010
21,25,11,2010-03-01T09:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
22,41,11,2010-02-17T11:15:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
23,68,02,2010-08-23T00:00:00.000,SEX ASSLT OF CHILD BY FAM MBR,,,OFFENSE INVOLVING CHILDREN,2010
24,4,20,2010-04-24T12:00:00.000,CRIM SEX ABUSE BY FAM MEMBER,,,OFFENSE INVOLVING CHILDREN,2010
25,35,11,2010-12-20T10:15:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
26,38,11,2010-01-25T10:25:00.000,FINANCIAL IDENTITY THEFT $300 AND UNDER,,,DECEPTIVE PRACTICE,2010
27,25,11,2010-02-13T08:21:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
28,30,11,2010-01-10T09:00:00.000,FRAUD OR CONFIDENCE GAME,,,DECEPTIVE PRACTICE,2010
29,33,11,2010-10-30T09:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
30,69,11,2010-12-01T10:25:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
31,25,11,2010-09-21T09:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
32,19,11,2010-07-19T12:30:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
33,49,11,2010-04-05T19:15:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
34,71,20,2010-01-01T21:00:00.000,CRIM SEX ABUSE BY FAM MEMBER,,,OFFENSE INVOLVING CHILDREN,2010
35,16,02,2010-01-01T00:00:00.000,SEX ASSLT OF CHILD BY FAM MBR,,,OFFENSE INVOLVING CHILDREN,2010
36,46,11,2010-01-09T16:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
37,69,11,2010-01-01T00:25:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
38,8,11,2010-06-14T02:15:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
39,24,02,2010-11-27T00:00:00.000,SEX ASSLT OF CHILD BY FAM MBR,,,OFFENSE INVOLVING CHILDREN,2010
40,8,11,2010-12-20T00:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
41,19,11,2010-01-01T09:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
42,3,11,2010-02-03T15:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
43,25,11,2010-06-05T00:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
44,66,20,2010-06-09T00:01:00.000,AGG CRIM SEX ABUSE FAM MEMBER,,,OFFENSE INVOLVING CHILDREN,2010
45,73,11,2010-01-20T00:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
46,69,11,2010-07-01T09:00:00.000,FINANCIAL IDENTITY THEFT OVER $ 300,,,DECEPTIVE PRACTICE,2010
47,22,20,2010-11-10T00:00:00.000,CRIM SEX ABUSE BY FAM MEMBER,,,OFFENSE INVOLVING CHILDREN,2010
48,66,01A,2010-01-04T17:15:00.000,FIRST DEGREE MURDER,41.782695521,-87.697524811,HOMICIDE,2010
49,29,01A,2010-01-09T00:01:00.000,FIRST DEGREE MURDER,41.858347639,-87.695667396,HOMICIDE,2010
50,1,01A,2010-01-14T12:15:00.000,FIRST DEGREE MURDER,42.00415523,-87.660835633,HOMICIDE,2010
51,23,01A,2010-01-23T18:53:00.000,FIRST DEGREE MURDER,41.898067287,-87.721278114,HOMICIDE,2010
52,75,01A,2010-02-14T03:40:00.000,FIRST DEGREE MURDER,41.688809748,-87.668428345,HOMICIDE,2010
53,77,01A,2010-02-18T22:35:00.000,FIRST DEGREE MURDER,41.993558695,-87.655495503,HOMICIDE,2010
54,2,01A,2010-02-24T10:30:00.000,FIRST DEGREE MURDER,41.993336951,-87.683587594,HOMICIDE,2010
55,30,01A,2010-02-28T22:13:00.000,FIRST DEGREE MURDER,41.837789446,-87.720707876,HOMICIDE,2010
56,44,01A,2010-02-28T07:09:00.000,FIRST DEGREE MURDER,41.751230964,-87.608353587,HOMICIDE,2010
57,49,01A,2010-03-15T00:02:00.000,FIRST DEGREE MURDER,41.690760217,-87.624231024,HOMICIDE,2010
58,25,01A,2010-03-18T21:20:00.000,FIRST DEGREE MURDER,41.894896751,-87.759907352,HOMICIDE,2010
59,8,01A,2010-01-09T06:13:00.000,FIRST DEGREE MURDER,41.898546648,-87.641830683,HOMICIDE,2010
60,25,01A,2010-03-27T20:52:00.000,FIRST DEGREE MURDER,41.890128925,-87.765212935,HOMICIDE,2010
61,69,01A,2010-04-15T23:13:00.000,FIRST DEGREE MURDER,41.766381692,-87.61044471,HOMICIDE,2010
62,69,01A,2010-04-15T17:57:00.000,FIRST DEGREE MURDER,41.752128151,-87.603986066,HOMICIDE,2010
