,DS_Subset,Neighborhood,Class_Code,Class_Code,Class_Code
ds_fbi_group,,,Nonviolent,Violent,White Collar
0,Gentrified,Lake View,1744,954,529
1,Gentrified,Lincoln Park,1292,551,294
2,Gentrified,Loop,1612,831,698
3,Gentrified,Near North Side,2800,1648,866
4,Gentrified,Near South Side,562,354,87
5,Gentrified,Near West Side,2780,1639,322
6,Gentrified,North Center,594,233,96
7,Gentrified,Uptown,1769,1000,240
8,Gentrified,West Town,3060,1733,367
9,Not Gentrified,Armour Square,445,222,45
10,Not Gentrified,Beverly,400,182,93
11,Not Gentrified,Bridgeport,890,447,57
12,Not Gentrified,Calumet Heights,632,369,66
13,Not Gentrified,Clearing,552,300,34
14,Not Gentrified,Dunning,868,421,101
15,Not Gentrified,Edgewater,1133,726,162
16,Not Gentrified,Edison Park,116,74,17
17,Not Gentrified,Forest Glen,242,84,34
18,Not Gentrified,Garfield Ridge,1058,439,137
19,Not Gentrified,Hyde Park,575,353,94
20,Not Gentrified,Irving Park,1432,833,122
21,Not Gentrified,Jefferson Park,553,267,79
22,Not Gentrified,Kenwood,759,532,55
23,Not Gentrified,Lincoln Square,842,427,93
24,Not Gentrified,Logan Square,2259,1325,198
25,Not Gentrified,Morgan Park,1172,625,109
26,Not Gentrified,Mount Greenwood,367,175,49
27,Not Gentrified,North Park,373,159,37
28,Not Gentrified,Norwood Park,478,279,99
29,Not Gentrified,Portage Park,1676,873,168
30,Not Gentrified,West Ridge,1686,857,121
