,community_area,fbi_code,date,description,latitude,longitude,primary_type,year
634,1.0,07,2002-05-22T07:10:00.000,THEFT/RECOVERY: AUTOMOBILE,,,MOTOR VEHICLE THEFT,2002
1083,1.0,18,2002-09-18T14:30:00.000,MANU/DELIVER:CRACK,,,NARCOTICS,2002
803,1.0,06,2002-07-16T19:00:00.000,$500 AND UNDER,,,THEFT,2002
1238,1.0,18,2002-08-09T14:30:40.000,POSS: CANNABIS MORE THAN 30GMS,,,NARCOTICS,2002
1428,1.0,26,2002-11-02T16:51:12.000,TO LAND,,,CRIMINAL TRESPASS,2002
1500,1.0,06,2002-09-02T00:00:00.000,FINANCIAL ID THEFT: OVER $300,42.016524687,-87.675285207,THEFT,2002
863,1.0,18,2002-07-30T12:06:42.000,MANU/DEL:CANNABIS OVER 10 GMS,,,NARCOTICS,2002
1440,1.0,17,2002-11-04T15:00:00.000,AGG CRIMINAL SEXUAL ABUSE,,,SEX OFFENSE,2002
656,1.0,08B,2002-06-07T20:30:00.000,SIMPLE,,,BATTERY,2002
764,1.0,06,2002-07-08T18:45:00.000,OVER $500,,,THEFT,2002
885,1.0,18,2002-08-02T03:25:58.000,POSS: CANNABIS 30GMS OR LESS,,,NARCOTICS,2002
57,1.0,06,2002-11-28T15:40:00.000,RETAIL THEFT,42.019399237,-87.675049485,THEFT,2002
989,1.0,06,2002-09-02T09:00:00.000,OVER $500,,,THEFT,2002
978,1.0,08B,2002-09-01T01:00:00.000,SIMPLE,,,BATTERY,2002
873,1.0,18,2002-07-31T11:00:00.000,MANU/DELIVER:CRACK,,,NARCOTICS,2002
970,1.0,26,2002-08-28T08:25:00.000,FALSE/STOLEN/ALTERED TRP,,,OTHER OFFENSE,2002
956,1.0,18,2002-08-17T19:05:00.000,POSS: CANNABIS 30GMS OR LESS,,,NARCOTICS,2002
734,1.0,03,2002-06-29T01:30:00.000,ARMED:KNIFE/CUTTING INSTRUMENT,,,ROBBERY,2002
705,1.0,04A,2002-06-24T21:00:00.000,AGGRAVATED: HANDGUN,,,ASSAULT,2002
758,1.0,11,2002-07-05T02:25:00.000,THEFT OF LOST/MISLAID PROP,,,DECEPTIVE PRACTICE,2002
1039,1.0,06,2002-09-16T15:00:00.000,$500 AND UNDER,,,THEFT,2002
834,1.0,18,2002-07-10T14:22:54.000,POSS: CANNABIS 30GMS OR LESS,,,NARCOTICS,2002
538,1.0,06,2002-04-28T22:00:00.000,$500 AND UNDER,,,THEFT,2002
1235,1.0,08B,2002-08-19T03:08:24.000,DOMESTIC BATTERY SIMPLE,,,BATTERY,2002
1058,1.0,03,2002-09-24T15:00:00.000,AGGRAVATED VEHICULAR HIJACKING,,,ROBBERY,2002
2,1.0,14,2002-05-28T15:00:00.000,TO VEHICLE,42.007961462,-87.662719889,CRIMINAL DAMAGE,2002
